model,scenario,variable,glb,nor
'ACCESS-ESM1-5','ssp126','nep',-1.363103365,-0.068118835
'ACCESS-ESM1-5','ssp126','nep',-0.198141112,-0.22492014
'ACCESS-ESM1-5','ssp126','nep',0.556541285,0.04952622
'ACCESS-ESM1-5','ssp126','nep',0.788313061,0.091044513
'ACCESS-ESM1-5','ssp126','nep',0.216390131,0.152468242
'ACCESS-ESM1-5','ssp126','nep',-2.185950502,0.016072778
'ACCESS-ESM1-5','ssp126','nep',-1.87219289,0.16815179
'ACCESS-ESM1-5','ssp126','nep',-0.078397043,0.087563389
'ACCESS-ESM1-5','ssp126','nep',0.45241207,0.195517581
'ACCESS-ESM1-5','ssp126','nep',-1.733985919,-0.042992362
'ACCESS-ESM1-5','ssp126','nep',-2.234645922,0.033682617
'ACCESS-ESM1-5','ssp126','nep',-1.217371997,-0.21215638
'ACCESS-ESM1-5','ssp126','nep',-0.332697084,0.009503938
'ACCESS-ESM1-5','ssp126','nep',-0.311988973,0.076373227
'ACCESS-ESM1-5','ssp126','nep',-0.591293526,0.06026705
'ACCESS-ESM1-5','ssp126','nep',-1.5138451,-0.180279911
'ACCESS-ESM1-5','ssp126','nep',-2.279322846,-0.063877244
'ACCESS-ESM1-5','ssp126','nep',-1.537438891,0.134980121
'ACCESS-ESM1-5','ssp126','nep',-1.282556939,-0.070288591
'ACCESS-ESM1-5','ssp126','nep',0.081172486,-0.336707126
'ACCESS-ESM1-5','ssp126','nep',-1.620909552,0.11491984
'ACCESS-ESM1-5','ssp126','nep',-0.37281002,-0.150720965
'ACCESS-ESM1-5','ssp126','nep',-0.607503907,-0.022397923
'ACCESS-ESM1-5','ssp126','nep',-2.363242796,-0.332149658
'ACCESS-ESM1-5','ssp126','nep',-3.765397246,-0.480499308
'ACCESS-ESM1-5','ssp126','nep',-1.145255195,-0.169226377
'ACCESS-ESM1-5','ssp126','nep',-1.894227691,-0.005413648
'ACCESS-ESM1-5','ssp126','nep',-2.975514486,-0.374857447
'ACCESS-ESM1-5','ssp126','nep',-3.211088009,-0.061752587
'ACCESS-ESM1-5','ssp126','nep',-0.449401874,-0.117285911
'ACCESS-ESM1-5','ssp126','nep',-0.277063374,-0.445098231
'ACCESS-ESM1-5','ssp126','nep',-0.611889004,-0.325919405
'ACCESS-ESM1-5','ssp126','nep',0.601447412,-0.136104641
'ACCESS-ESM1-5','ssp126','nep',-0.240989313,0.030699177
'ACCESS-ESM1-5','ssp126','nep',-4.292785711,-0.075763852
'ACCESS-ESM1-5','ssp126','nep',-5.317126348,-0.287347403
'ACCESS-ESM1-5','ssp126','nep',-2.069961729,-0.238386494
'ACCESS-ESM1-5','ssp126','nep',-2.532683241,-0.18314928
'ACCESS-ESM1-5','ssp126','nep',-1.619764291,0.022737151
