variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',0.01320351,-1363.103456,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',-0.070315747,-198.1411077,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',-0.026240286,556.5413033,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',-0.063223808,788.3130882,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.146576331,216.3901719,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.301398033,-2185.950355,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.630393662,-1872.192869,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.555783693,-78.39699752,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.341089853,452.4121352,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.474851473,-1733.985841,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.543201254,-2234.645836,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.612675405,-1217.371901,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.792852622,-332.6969759,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.672488068,-311.9907877,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.615989336,-591.2957605,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.376949353,-1513.847643,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.658225408,-2279.325613,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.766088026,-1537.441684,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.701464224,-1282.559818,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.605212272,81.16935524,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.060287727,-1620.912758,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.875599211,-372.814448,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.904543228,-607.5116963,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.797317358,-2363.253292,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.023336445,-3765.410375,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.815870346,-1145.271413,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.682536962,-1894.243586,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.057565918,-2975.530117,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.068201317,-3211.104032,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.922931008,-449.4177932,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.870115471,-277.0797987,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.775180778,-611.9046226,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.69626816,601.4322032,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.854038706,-241.0044034,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.865044121,-4292.800235,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.994579405,-5317.141861,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.017877996,-2069.976458,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.973163569,-2532.696874,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.048198543,-1619.777195,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.024712225,-370.2979075,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.812727274,2441.593529,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.954350904,1630.093868,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.126677769,-2164.014568,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.161659791,-3766.979278,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.153738131,-1365.973594,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.905498996,-405.7530117,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.897895292,-2920.279069,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.043559293,-2743.611682,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.015439666,-1664.760932,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.995990148,-2256.623275,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',0.918501313,271.3046527,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.107636305,-2440.333397,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.241348314,-2852.720414,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.126839112,-686.5756142,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.454154015,-3131.256376,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.477252901,-4013.182298,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.681776438,-207.0785646,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.366872931,276.4651272,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.510826417,-1202.48782,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.551542278,-3937.408908,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.394288481,-2595.663577,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.192927105,-682.942352,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.263490485,-775.5109561,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.491042655,-3165.427931,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.331310537,-2003.409694,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.309963665,-1789.908142,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.295486566,-2718.921107,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.220830307,-2275.913431,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.22206929,-1810.503117,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.392031264,-3848.516843,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.512676619,-4854.831778,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.465220741,-5935.376137,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.304723539,-2563.009976,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.122178671,-4.387822993,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.219496516,-3375.075334,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.223558915,-1449.139701,'ACCESS-ESM1-5'
